epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,715.273,1.16349,1.11164,1.32148,0.58211,0.9711,0.58254,0.36043,1.29074,1.52156,1.29432,0.000666165,0.000666165,0.000666165
2,1480.02,1.15639,0.54727,1.28127,0.99677,0.99021,0.99489,0.71307,1.16253,0.50684,1.21318,0.00120088,0.00120088,0.00120088
3,2121.83,1.14551,0.52129,1.27823,0.97215,0.9878,0.97282,0.65236,1.26842,0.56251,1.2738,0.0016036,0.0016036,0.0016036
4,2758.17,1.1268,0.50859,1.26507,0.99159,0.98494,0.99405,0.6969,1.1941,0.52245,1.23187,0.001406,0.001406,0.001406
5,3412.67,1.11366,0.47048,1.25496,0.9977,0.99165,0.99466,0.72492,1.11094,0.45127,1.18453,0.001208,0.001208,0.001208
6,4050.13,1.08631,0.45289,1.23335,0.97239,0.98908,0.9703,0.6948,1.11511,0.46713,1.18981,0.00101,0.00101,0.00101
7,4665.14,1.07998,0.43278,1.22236,0.852,0.98908,0.85187,0.60322,1.10498,0.63175,1.17898,0.000812,0.000812,0.000812
8,5283,1.06158,0.43192,1.21834,0.99806,0.99186,0.99492,0.74266,1.09411,0.40254,1.1707,0.000614,0.000614,0.000614
9,5900.33,1.04321,0.40194,1.19995,0.99714,0.99358,0.99497,0.74672,1.06809,0.39452,1.15885,0.000416,0.000416,0.000416
10,6520.43,1.0287,0.38419,1.19238,0.99806,0.99289,0.99496,0.74297,1.09098,0.3823,1.15951,0.000218,0.000218,0.000218
