epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,3041.46,0.76973,0.36345,0.97389,0.87589,0.60767,0.71807,0.47325,1.66433,1.4713,1.53488,0.00136994,0.00136994,0.00136994
20,3192.92,0.76605,0.36001,0.97051,0.76668,0.55581,0.65794,0.42704,1.75599,1.76476,1.55578,0.00135344,0.00135344,0.00135344
21,3344.57,0.75817,0.35325,0.96266,0.65324,0.54579,0.63051,0.41907,1.58117,1.69143,1.44912,0.00133693,0.00133693,0.00133693
22,3645.2,0.7658,0.35757,0.96455,0.84723,0.58451,0.68782,0.46314,1.58426,1.67947,1.44357,0.00132043,0.00132043,0.00132043
23,3977.39,0.75742,0.35638,0.97297,0.69736,0.54852,0.62703,0.40787,1.74635,1.84557,1.54817,0.00130393,0.00130393,0.00130393
24,4129.7,0.75653,0.35158,0.96829,0.69722,0.49476,0.60254,0.41569,1.72282,2.29943,1.54769,0.00128742,0.00128742,0.00128742
25,4281.68,0.75289,0.3495,0.96558,0.78302,0.5549,0.67627,0.45733,1.6855,1.95292,1.50863,0.00127092,0.00127092,0.00127092
26,4433.92,0.76039,0.35255,0.96489,0.77848,0.52993,0.63601,0.42367,1.78124,2.04046,1.61382,0.00125442,0.00125442,0.00125442
27,4585.06,0.74244,0.35415,0.96024,0.76157,0.53303,0.65072,0.42902,1.6818,1.76872,1.53434,0.00123791,0.00123791,0.00123791
28,4736.3,0.74559,0.34008,0.96193,0.76923,0.53121,0.63903,0.43003,1.65868,1.83975,1.51007,0.00122141,0.00122141,0.00122141
29,4887.26,0.73465,0.33909,0.9607,0.68566,0.56941,0.65916,0.44465,1.61923,1.88651,1.47262,0.00120491,0.00120491,0.00120491
30,5038.59,0.73033,0.34011,0.95761,0.61955,0.54159,0.61923,0.41631,1.59581,1.71255,1.45528,0.0011884,0.0011884,0.0011884
31,5191.57,0.74362,0.33908,0.96361,0.78944,0.55399,0.65259,0.43106,1.62632,1.73924,1.47135,0.0011719,0.0011719,0.0011719
32,5344.3,0.7369,0.33708,0.96296,0.72541,0.52665,0.64032,0.44102,1.62708,2.26574,1.48103,0.0011554,0.0011554,0.0011554
33,5496.62,0.73835,0.3346,0.95516,0.65855,0.46196,0.55329,0.37707,1.69727,2.34985,1.5226,0.00113889,0.00113889,0.00113889
34,5651.2,0.73051,0.32567,0.95336,0.75861,0.55981,0.65286,0.42377,1.70506,1.68659,1.53057,0.00112239,0.00112239,0.00112239
35,5806.09,0.74076,0.33089,0.95891,0.70215,0.43599,0.54158,0.36724,1.83526,2.52091,1.65694,0.00110589,0.00110589,0.00110589
36,6054.21,0.7468,0.33551,0.96036,0.77314,0.50661,0.58107,0.39005,1.65502,1.86328,1.51294,0.00108938,0.00108938,0.00108938
37,6210.09,0.72245,0.32457,0.95186,0.84434,0.48292,0.684,0.46967,1.66291,2.35368,1.48573,0.00107288,0.00107288,0.00107288
38,6364.45,0.72327,0.32384,0.95006,0.77916,0.50068,0.62256,0.41671,1.67882,2.1047,1.53083,0.00105638,0.00105638,0.00105638
39,6523.41,0.72872,0.32721,0.96411,0.71145,0.49841,0.62076,0.41471,1.66,1.94703,1.48704,0.00103987,0.00103987,0.00103987
40,6694.07,0.71918,0.31949,0.95191,0.75916,0.48107,0.61338,0.41445,1.68521,2.27213,1.51994,0.00102337,0.00102337,0.00102337
41,6868.75,0.72228,0.31668,0.95083,0.76625,0.55856,0.64987,0.42695,1.75568,1.93957,1.59618,0.00100687,0.00100687,0.00100687
42,7042.02,0.72335,0.32338,0.95128,0.66618,0.48838,0.57563,0.37729,1.76186,1.95942,1.59588,0.000990365,0.000990365,0.000990365
43,7216.86,0.71744,0.31753,0.94983,0.77471,0.46527,0.60525,0.4125,1.70468,2.58746,1.54417,0.000973861,0.000973861,0.000973861
44,7388.78,0.71122,0.31529,0.94938,0.80776,0.60456,0.7136,0.48109,1.57394,1.66311,1.43919,0.000957358,0.000957358,0.000957358
45,7552.04,0.70787,0.30939,0.9492,0.73788,0.49375,0.61015,0.41725,1.65628,2.43739,1.49046,0.000940855,0.000940855,0.000940855
46,7708.27,0.71695,0.31491,0.94679,0.72352,0.60563,0.67988,0.44949,1.64216,1.65792,1.51437,0.000924352,0.000924352,0.000924352
47,7862.6,0.71605,0.31219,0.95332,0.73992,0.48109,0.60221,0.40642,1.76562,2.23135,1.65597,0.000907848,0.000907848,0.000907848
48,8034.26,0.69987,0.3068,0.9453,0.73808,0.4519,0.56081,0.37843,1.61412,2.06111,1.48044,0.000891345,0.000891345,0.000891345
49,8206.76,0.70111,0.30904,0.94612,0.68751,0.5344,0.62808,0.43073,1.63009,2.09071,1.51833,0.000874842,0.000874842,0.000874842
50,8385.99,0.70971,0.30614,0.94655,0.71957,0.56948,0.64295,0.42936,1.66439,1.76729,1.55443,0.000858338,0.000858338,0.000858338
51,8553.91,0.71861,0.31218,0.95152,0.78745,0.58269,0.67243,0.44664,1.68221,1.84125,1.52646,0.000841835,0.000841835,0.000841835
52,8732.69,0.70259,0.30246,0.94369,0.75931,0.56674,0.65242,0.44138,1.60258,1.8593,1.50469,0.000825332,0.000825332,0.000825332
53,8891.08,0.69129,0.30014,0.94112,0.78629,0.57859,0.6904,0.47048,1.58118,1.80486,1.45742,0.000808828,0.000808828,0.000808828
54,9048.23,0.69249,0.30211,0.94541,0.74732,0.54705,0.63474,0.43244,1.69225,2.05371,1.57246,0.000792325,0.000792325,0.000792325
55,9205.82,0.70355,0.30779,0.95163,0.70726,0.56401,0.65208,0.44032,1.6169,2.01157,1.49175,0.000775822,0.000775822,0.000775822
56,9385.41,0.69049,0.30066,0.93178,0.75218,0.50797,0.61888,0.4272,1.67127,2.41841,1.53683,0.000759318,0.000759318,0.000759318
57,9544.31,0.69178,0.29657,0.94125,0.70061,0.44146,0.55193,0.38515,1.66408,2.63075,1.51766,0.000742815,0.000742815,0.000742815
58,9703.82,0.6949,0.2999,0.9384,0.78358,0.46185,0.61621,0.4304,1.61522,2.50571,1.49198,0.000726312,0.000726312,0.000726312
59,9865.06,0.68204,0.29882,0.93788,0.79014,0.45626,0.6138,0.43072,1.6166,2.6147,1.49343,0.000709809,0.000709809,0.000709809
60,10027,0.68713,0.29487,0.93248,0.74018,0.53863,0.63569,0.43129,1.59826,2.06917,1.45941,0.000693305,0.000693305,0.000693305
61,10189.3,0.6882,0.29109,0.93268,0.71337,0.45694,0.59986,0.41794,1.63857,2.52622,1.5076,0.000676802,0.000676802,0.000676802
62,10343.5,0.67418,0.29192,0.93919,0.72027,0.43755,0.58065,0.40657,1.65658,2.60384,1.54126,0.000660299,0.000660299,0.000660299
63,10507.9,0.67784,0.28785,0.93632,0.7955,0.49799,0.62136,0.41577,1.68554,2.20936,1.53554,0.000643795,0.000643795,0.000643795
64,10680.6,0.67881,0.28892,0.93871,0.78845,0.5385,0.6481,0.42792,1.73146,2.09199,1.56482,0.000627292,0.000627292,0.000627292
65,10851,0.67413,0.2903,0.93143,0.75342,0.40786,0.58257,0.4078,1.69677,2.97383,1.56138,0.000610789,0.000610789,0.000610789
66,11020.8,0.67415,0.2893,0.93353,0.76617,0.45828,0.56686,0.39229,1.70895,2.56109,1.59413,0.000594286,0.000594286,0.000594286
67,11255.3,0.6638,0.28533,0.93429,0.76227,0.44553,0.62761,0.44332,1.63469,2.64628,1.54381,0.000577782,0.000577782,0.000577782
68,11408.2,0.6675,0.2823,0.93375,0.70503,0.50615,0.62433,0.43543,1.67539,2.30381,1.55162,0.000561279,0.000561279,0.000561279
69,11565.3,0.65948,0.2823,0.93222,0.7654,0.42597,0.59843,0.42361,1.63117,2.75255,1.52701,0.000544776,0.000544776,0.000544776
70,11723.1,0.66162,0.28025,0.9297,0.8297,0.42597,0.62373,0.43707,1.67577,2.7051,1.55187,0.000528272,0.000528272,0.000528272
71,11887.3,0.66324,0.28298,0.93796,0.80828,0.44177,0.57775,0.40104,1.62933,2.70213,1.5083,0.000511769,0.000511769,0.000511769
