epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.563,0.84472,1.10184,1.15315,0.53268,0.6328,0.43907,0.24638,1.73208,1.80062,1.781,0.000665251,0.000665251,0.000665251
2,561.233,0.85634,0.52959,1.15339,0.81333,0.6082,0.69528,0.41516,1.76068,1.52539,1.71573,0.00130994,0.00130994,0.00130994
3,839.43,0.87479,0.51535,1.16217,0.78393,0.62976,0.70136,0.39724,1.85127,1.55508,1.83882,0.00193263,0.00193263,0.00193263
4,1116.83,0.86438,0.49346,1.14419,0.78763,0.61686,0.7001,0.44027,1.64334,1.44507,1.63518,0.001901,0.001901,0.001901
5,1389.6,0.88805,0.49547,1.163,0.79418,0.6451,0.70581,0.41939,1.78313,1.51043,1.7515,0.001868,0.001868,0.001868
6,1663.95,0.87362,0.48372,1.15932,0.8501,0.65365,0.73067,0.45265,1.64199,1.39952,1.63509,0.001835,0.001835,0.001835
7,1936.16,0.86647,0.47012,1.16239,0.71917,0.59266,0.66793,0.4223,1.68438,1.6729,1.67372,0.001802,0.001802,0.001802
8,2205.15,0.86784,0.46354,1.14784,0.74931,0.58962,0.66321,0.42002,1.65559,1.57983,1.67473,0.001769,0.001769,0.001769
9,2474.1,0.86675,0.44618,1.1562,0.89323,0.6746,0.75915,0.46689,1.68922,1.3513,1.72584,0.001736,0.001736,0.001736
10,2744.07,0.85952,0.45099,1.13744,0.87048,0.55763,0.66288,0.40897,1.75542,1.67812,1.76311,0.001703,0.001703,0.001703
11,3013.9,0.8488,0.42282,1.132,0.80355,0.52551,0.58688,0.3725,1.82762,2.1796,1.87127,0.00167,0.00167,0.00167
12,3285.12,0.83663,0.4315,1.12767,0.75255,0.62916,0.68388,0.4297,1.66906,1.54532,1.73417,0.001637,0.001637,0.001637
13,3554.95,0.83817,0.4134,1.12178,0.83667,0.63827,0.71189,0.44723,1.71815,1.4994,1.74477,0.001604,0.001604,0.001604
14,3828.2,0.84682,0.42645,1.12793,0.81618,0.67062,0.72738,0.44295,1.69625,1.43056,1.71817,0.001571,0.001571,0.001571
15,4105.17,0.82601,0.417,1.12102,0.77815,0.57209,0.67459,0.41578,1.72513,1.6248,1.72553,0.001538,0.001538,0.001538
16,4375.88,0.82973,0.41991,1.1125,0.82006,0.64692,0.72541,0.44754,1.76979,1.50836,1.75522,0.001505,0.001505,0.001505
17,4644.71,0.82399,0.41622,1.11013,0.86545,0.6828,0.77279,0.45894,1.72748,1.20936,1.72988,0.001472,0.001472,0.001472
18,4913.56,0.80119,0.40162,1.10048,0.81262,0.69339,0.74303,0.4679,1.67793,1.30285,1.67542,0.001439,0.001439,0.001439
19,5189.25,0.81909,0.40222,1.10541,0.74221,0.6611,0.71747,0.43932,1.74373,1.44882,1.75967,0.001406,0.001406,0.001406
20,5515.69,0.81515,0.40433,1.11007,0.87765,0.67062,0.74098,0.47061,1.62993,1.35925,1.70929,0.001373,0.001373,0.001373
21,5836.9,0.82186,0.40201,1.10536,0.7971,0.66105,0.71472,0.45276,1.65883,1.45528,1.70886,0.00134,0.00134,0.00134
22,6112.75,0.8034,0.39719,1.09343,0.89354,0.70296,0.75742,0.46337,1.70831,1.33878,1.74533,0.001307,0.001307,0.001307
23,6392.89,0.81301,0.39296,1.10601,0.84759,0.69021,0.75694,0.48379,1.6426,1.39534,1.68003,0.001274,0.001274,0.001274
24,6664.94,0.80031,0.40174,1.09728,0.78175,0.62916,0.68026,0.4421,1.64556,1.67139,1.74331,0.001241,0.001241,0.001241
