epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,6941.09,0.8216,0.40181,1.10595,0.85375,0.67608,0.75773,0.49047,1.58575,1.22746,1.66695,0.001208,0.001208,0.001208
26,7215.98,0.79924,0.38391,1.09936,0.88789,0.71982,0.78285,0.48075,1.69852,1.23814,1.73442,0.001175,0.001175,0.001175
27,7492.76,0.79362,0.38597,1.0926,0.85198,0.68246,0.74599,0.47528,1.63132,1.38075,1.66804,0.001142,0.001142,0.001142
28,7772.44,0.79667,0.38059,1.09435,0.87974,0.71652,0.76933,0.48721,1.63172,1.39637,1.67375,0.001109,0.001109,0.001109
29,8116.49,0.80284,0.38851,1.09244,0.8486,0.6869,0.72794,0.45599,1.67625,1.6272,1.7751,0.001076,0.001076,0.001076
30,8419.09,0.79245,0.37403,1.0908,0.83025,0.69742,0.7652,0.48274,1.64237,1.3406,1.6757,0.001043,0.001043,0.001043
31,8698.41,0.78692,0.37537,1.08598,0.84903,0.70478,0.7543,0.46058,1.69273,1.36976,1.7442,0.00101,0.00101,0.00101
32,8978.25,0.78986,0.37324,1.08803,0.85549,0.69749,0.77152,0.48351,1.67601,1.25899,1.71361,0.000977,0.000977,0.000977
33,9251.36,0.78807,0.36466,1.08999,0.89329,0.70296,0.7801,0.50119,1.62937,1.32176,1.69822,0.000944,0.000944,0.000944
34,9526.19,0.76863,0.36063,1.06725,0.87225,0.69567,0.75174,0.46746,1.72011,1.4046,1.78125,0.000911,0.000911,0.000911
35,9808.47,0.78074,0.36319,1.08352,0.86622,0.64899,0.73869,0.47209,1.68839,1.62991,1.72415,0.000878,0.000878,0.000878
36,10117.7,0.77878,0.36445,1.07609,0.86183,0.70472,0.7707,0.48562,1.67465,1.24545,1.71514,0.000845,0.000845,0.000845
37,10404.8,0.76843,0.3631,1.08413,0.7759,0.65649,0.72958,0.46864,1.65996,1.41773,1.69122,0.000812,0.000812,0.000812
38,10682.9,0.78236,0.36195,1.08443,0.86192,0.71435,0.78025,0.48969,1.65478,1.26944,1.72317,0.000779,0.000779,0.000779
39,10967.9,0.77239,0.35376,1.07644,0.90911,0.69476,0.78264,0.46844,1.75849,1.24878,1.7827,0.000746,0.000746,0.000746
40,11268.3,0.76946,0.35841,1.07834,0.85356,0.65877,0.73953,0.47815,1.65498,1.51378,1.76029,0.000713,0.000713,0.000713
41,11541.6,0.74932,0.35515,1.06559,0.88245,0.72756,0.78401,0.49916,1.61164,1.19229,1.70273,0.00068,0.00068,0.00068
42,11821.9,0.75241,0.34703,1.06612,0.84824,0.69658,0.76441,0.47646,1.67805,1.28557,1.72797,0.000647,0.000647,0.000647
43,12107.4,0.76092,0.35512,1.07661,0.85658,0.68294,0.73205,0.48052,1.58781,1.47463,1.67611,0.000614,0.000614,0.000614
44,14660.7,0.75225,0.34958,1.07048,0.86556,0.69476,0.74929,0.47999,1.63495,1.38014,1.66314,0.000581,0.000581,0.000581
45,14932.7,0.75547,0.33692,1.06119,0.86017,0.71025,0.76867,0.49547,1.58038,1.26551,1.62743,0.000548,0.000548,0.000548
46,15206.6,0.75594,0.34831,1.06844,0.8564,0.68929,0.75287,0.48084,1.6249,1.33564,1.65248,0.000515,0.000515,0.000515
47,15477.9,0.75476,0.34941,1.06907,0.87662,0.69269,0.7586,0.48758,1.60799,1.42587,1.66613,0.000482,0.000482,0.000482
48,15749.5,0.75247,0.33526,1.06584,0.77451,0.68793,0.73913,0.48383,1.59211,1.44041,1.66167,0.000449,0.000449,0.000449
49,16020.1,0.73061,0.32278,1.0466,0.8406,0.71754,0.77682,0.50136,1.59265,1.33241,1.66265,0.000416,0.000416,0.000416
50,16290.6,0.74149,0.32741,1.06762,0.83936,0.68793,0.74983,0.47556,1.63996,1.37083,1.66984,0.000383,0.000383,0.000383
51,16613.4,0.72703,0.26647,1.08104,0.88999,0.69522,0.80197,0.52908,1.61927,1.40243,1.68906,0.00035,0.00035,0.00035
52,16882.7,0.71754,0.26526,1.08719,0.8716,0.68964,0.7909,0.51611,1.63542,1.53321,1.65286,0.000317,0.000317,0.000317
53,17152.1,0.71141,0.25725,1.07202,0.8707,0.70256,0.80185,0.52319,1.64344,1.40774,1.66374,0.000284,0.000284,0.000284
54,17423.2,0.7047,0.25411,1.05394,0.87033,0.70944,0.80969,0.53169,1.62907,1.40977,1.65399,0.000251,0.000251,0.000251
55,17693.7,0.69985,0.25156,1.06656,0.85705,0.70742,0.80794,0.52672,1.65897,1.43919,1.67351,0.000218,0.000218,0.000218
56,17966.7,0.69731,0.24766,1.0647,0.8786,0.69431,0.80867,0.53571,1.64322,1.51842,1.653,0.000185,0.000185,0.000185
57,18238.9,0.6927,0.24474,1.06121,0.86452,0.69841,0.8096,0.54736,1.57908,1.50972,1.58988,0.000152,0.000152,0.000152
58,18512.9,0.68767,0.24704,1.05494,0.83223,0.68428,0.78244,0.52732,1.5881,1.56837,1.58423,0.000119,0.000119,0.000119
59,18800.1,0.69171,0.24079,1.05211,0.84627,0.67973,0.7911,0.52708,1.61805,1.55982,1.61234,8.6e-05,8.6e-05,8.6e-05
60,19092.4,0.68603,0.24041,1.06105,0.83932,0.67882,0.78917,0.52879,1.61071,1.5582,1.60749,5.3e-05,5.3e-05,5.3e-05
